Teams
Burnley
Crystal Palace
Everton
Hull
Man City
Middlesbrough
Southampton
Arsenal
Bournemouth
Chelsea
Swansea
West Brom
Tottenham
Leicester
Sunderland
Stoke
Watford
Liverpool
Man United
West Ham
Brighton
Newcastle
Huddersfield
Fulham
Wolves
Cardiff
Norwich
Sheffield United
Aston Villa
Leeds
